,KERTAS KERJA MV_TS_Modifikasi Status Rack In PMT EGA / VD4,,,,,,,EGA,,,TOTAL,PIC UPT koordinasi dengan ULTG,,,73,"102,82%"
,,,,,,,,71,,,71,,,,16,"22,54%"
NO,UPT,ULTG,NAMA GI,BAY,TEG_OPRS,PHASA,TGL_OPRS,THN_BUAT,BUATAN,MERK,TIPE,Rencana tanggal ,Realisasi tanggal,LInk Laporan ,Status,Keterangan
20,UPT CAWANG,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#1 150/20kV (INC),20,RST,04/03/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,12 Sep 2026,,,Open,
21,UPT CAWANG,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#2 150/20kV (INC),20,RST,27/02/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,26 Sep 2026,,,Open,Har off
22,UPT CAWANG,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#3 150/22kV (INC),20,RST,10/01/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,05 Sep 2026,,,Open,Har busbar 20kV
23,UPT CAWANG,ULTG MAMPANG,GIS 150KV DURENTIGA,TRF#2 150/20kV (INC),20,RST,13/02/2020 0:00:00,2018,INDONESIA,EGA,CK-2000,27 Agu 2026,,,Open,Ganti rele sbef
24,UPT CAWANG,ULTG MAMPANG,GIS 150KV SENAYAN,TRF#3 150/22kV (INC),20,RST,22/10/2017 0:00:00,2016,INDONESIA,EGA,CK-2000,19 Sep 2026,,,Open,Har busbar 20kV
25,UPT CIKUPA,ULTG CIKUPA,GI 150KV PASAR KEMIS,TRF#3 150/20kV (INC),20,RST,14/12/2010 0:00:00,2008,INDONESIA,EGA,CK-2000,22 Agu 2026,,,Open,
26,UPT CIKUPA,ULTG SERANG,GI 150KV MODERN,TRF#3 150/22kV (INC),20,RST,25/08/2025 0:00:00,2024,INDONESIA,EGA,CK-2000,,,,Open,
27,UPT CIKUPA,ULTG SERANG,GI 150KV SERANG,TRF#3 150/20kV (INC),20,RST,29/11/2019 0:00:00,2019,INDONESIA,EGA,CK-2000,01 Sep 2026,,,Open,
28,UPT CILEGON,ULTG RANGKAS,GI 150KV SAKETI,TRF#1 150/20kV (INC),20,RST,12/01/2019 0:00:00,2019,INDONESIA,EGA,CK-2000,,,,Open,KUBIKEL EGA
29,UPT CILEGON,ULTG RANGKAS,GI 150KV SAKETI,TRF#2 150/20kV (INC),20,RST,29/11/2014 0:00:00,2018,INDONESIA,EGA,CK-2000,,,,Open,KUBIKEL EGA
30,UPT CILEGON,ULTG SURALAYA,GI 150KV SURALAYA,TRF#1 150/20kV (INC),20,RST,27/01/1996 0:00:00,2019,INDONESIA,EGA,CK-2000,,,,Open,
31,UPT CILEGON,ULTG SURALAYA,GIS 150KV SALIRA INDAH,TRF#1 150/22kV (INC),20,RST,11/11/2023 0:00:00,2023,INDONESIA,EGA,CK-2000,,,,Open,
32,UPT DURIKOSAMBI,ULTG ANGKE,GI 150KV ANGKE,TRF#1 150/20kV (INC),20,RST,17/12/2023 0:00:00,2019,INDONESIA,EGA,CK-2000,13 Sep 2026,,,Open,
33,UPT DURIKOSAMBI,ULTG ANGKE,GI 150KV ANGKE,TRF#2 150/20kV (INC),20,RST,01/01/2021 0:00:00,2021,INDONESIA,EGA,CK-2000,11 Okt 2026,,,Open,
34,UPT DURIKOSAMBI,ULTG ANGKE,GI 150KV ANGKE,TRF#3 150/20kV (INC),20,RST,01/01/2017 0:00:00,2017,INDONESIA,EGA,CK-2000,25 Okt 2026,,,Open,
35,UPT DURIKOSAMBI,ULTG ANGKE,GI 150KV ANGKE,TRF#4 150/20kV (INC),20,RST,01/01/2020 0:00:00,2020,INDONESIA,EGA,CK-2000,20 Sep 2026,,,Open,
